CHR_ID,ELEVATION,READ_DATE,DATUM_ADJ
01003300,1224.28,1942/8/2,NGVD 29
01003300,1224.23,1942/8/3,NGVD 29
01003300,1224.21,1942/8/4,NGVD 29
01003300,1224.21,1942/8/5,NGVD 29
01003300,1224.20,1942/8/6,NGVD 29
01003300,1224.19,1942/8/7,NGVD 29
01003300,1224.19,1942/8/8,NGVD 29
01003300,1224.21,1942/8/9,NGVD 29
01003300,1224.21,1942/8/10,NGVD 29
01003300,1224.19,1942/8/11,NGVD 29
01003300,1224.19,1942/8/12,NGVD 29
01003300,1224.17,1942/8/13,NGVD 29
01003300,1224.17,1942/8/14,NGVD 29
01003300,1224.17,1942/8/15,NGVD 29
01003300,1224.15,1942/8/16,NGVD 29
01003300,1224.15,1942/8/17,NGVD 29
01003300,1224.14,1942/8/18,NGVD 29
01003300,1224.13,1942/8/19,NGVD 29
01003300,1224.13,1942/8/20,NGVD 29
01003300,1224.11,1942/8/21,NGVD 29
01003300,1224.09,1942/8/22,NGVD 29
01003300,1224.07,1942/8/23,NGVD 29
01003300,1224.05,1942/8/24,NGVD 29
01003300,1224.03,1942/8/25,NGVD 29
01003300,1224.01,1942/8/26,NGVD 29
01003300,1224.09,1942/8/27,NGVD 29
01003300,1224.09,1942/8/28,NGVD 29
01003300,1224.27,1942/8/29,NGVD 29
01003300,1224.29,1942/8/30,NGVD 29
01003300,1224.27,1942/8/31,NGVD 29
01003300,1224.33,1942/9/1,NGVD 29
01003300,1224.32,1942/9/2,NGVD 29
01003300,1224.32,1942/9/3,NGVD 29
01003300,1224.32,1942/9/4,NGVD 29
01003300,1224.31,1942/9/5,NGVD 29
01003300,1224.29,1942/9/6,NGVD 29
01003300,1224.29,1942/9/7,NGVD 29
01003300,1224.29,1942/9/8,NGVD 29
01003300,1224.27,1942/9/9,NGVD 29
01003300,1224.27,1942/9/10,NGVD 29
01003300,1224.29,1942/9/11,NGVD 29
01003300,1224.29,1942/9/12,NGVD 29
01003300,1224.31,1942/9/13,NGVD 29
